"Year","EEZ","EZnm","EEZ.alt","Partgrp","Grp","Flag","Days","ALBc","BETc","YFTc"
2001,"I2","Int2","HS","High Seas","High Seas","BZ",26,0,3.4,8.19
2001,"I2","Int2","HS","High Seas","High Seas","CN",178.073,0,25.884,10.497
2001,"I2","Int2","HS","High Seas","High Seas","FJ",12.549,4.577426,2.458893,2.835288
2001,"I2","Int2","HS","High Seas","High Seas","FM",82.377,0,26.07865,15.402802
2001,"I2","Int2","HS","High Seas","High Seas","JP",991.459,196.26938,751.325298,921.364032
2001,"I2","Int2","HS","High Seas","High Seas","KR",245.273,31.522,124.458,88.75
2001,"I2","Int2","HS","High Seas","High Seas","SB",1.99,0.025317,0.200184,0
2001,"I2","Int2","HS","High Seas","High Seas","TW",1025,13.941,182.675,157.921
2001,"I2","Int2","HS","High Seas","High Seas","VU",16.18,18.671528,6.385781,14.16771
2001,"I3","Int3","HS","High Seas","High Seas","FM",1.62,0,0.21759,0
2001,"I3","Int3","HS","High Seas","High Seas","JP",6734.902,5235.653335,746.865591,1566.222195
2001,"I3","Int3","HS","High Seas","High Seas","TW",10939.808,0,1461.857718,1719.552921
2001,"I4","Int4","HS","High Seas","High Seas","BZ",4001.387,2190.584,642.1385,450.974505
2001,"I4","Int4","HS","High Seas","High Seas","CN",6520.633,0,397.432989,569.89249
2001,"I4","Int4","HS","High Seas","High Seas","JP",4882.149,640.623289,4886.709438,2942.474829
2001,"I4","Int4","HS","High Seas","High Seas","KR",16335.011,946.282987,8076.646,4843.263431
2001,"I4","Int4","HS","High Seas","High Seas","TW",12592.902,0,1544.136516,1160.951988
2001,"I5","Int5","HS","High Seas","High Seas","BZ",4001.387,2190.584,642.1385,450.974505
2001,"I5","Int5","HS","High Seas","High Seas","CN",6520.633,0,397.432989,569.89249
2001,"I5","Int5","HS","High Seas","High Seas","JP",2507.667,69.181793,3358.893398,1054.693832
2001,"I5","Int5","HS","High Seas","High Seas","KR",16335.011,946.282987,8076.646,4843.263431
2001,"I5","Int5","HS","High Seas","High Seas","PF",1.379,0.552055,0.225579,0.194821
2001,"I5","Int5","HS","High Seas","High Seas","TW",12673.902,0,1546.686516,1164.456988
2001,"I5","Int5","HS","High Seas","High Seas","US",2719.524,627.835493,580.087799,260.882872
2001,"I5","Int5","HS","High Seas","High Seas","VU",79.237,92.526905,2.774581,1.361161
2001,"I6","Int6","HS","High Seas","High Seas","BZ",63,66.209,0.221,0
2001,"I6","Int6","HS","High Seas","High Seas","CN",144,203.442,1.212,0.04
2001,"I6","Int6","HS","High Seas","High Seas","JP",43718.755,21319.460765,7267.368889,2557.060894
2001,"I6","Int6","HS","High Seas","High Seas","TW",5150.29,1702.110714,987.6,3822.6
2001,"I6","Int6","HS","High Seas","High Seas","US",1643.269,63.914335,517.772385,20.916453
2001,"I7","Int7","HS","High Seas","High Seas","AU",232.63,9.135838,12.238813,22.440621
2001,"I7","Int7","HS","High Seas","High Seas","BZ",173,312.459,2.314,8.929
2001,"I7","Int7","HS","High Seas","High Seas","CN",2985.07,2388.056,0,0
2001,"I7","Int7","HS","High Seas","High Seas","FJ",159.53,173.573387,3.817681,10.725381
2001,"I7","Int7","HS","High Seas","High Seas","JP",3806.015,2920.292709,936.918947,639.510058
2001,"I7","Int7","HS","High Seas","High Seas","NZ",81.835,21.149769,6.484121,1.368655
2001,"I7","Int7","HS","High Seas","High Seas","TO",198.213,190.428532,4.973636,8.034807
2001,"I7","Int7","HS","High Seas","High Seas","TW",1499.44,11592.866426,0.38,1.45
2001,"I7","Int7","HS","High Seas","High Seas","US",1,0.104879,0,0.048919
2001,"I7","Int7","HS","High Seas","High Seas","VU",142.991,181.02383,0.759547,0.636932
2001,"I8","Int8","HS","High Seas","High Seas","BZ",2,2.383,0.098,0.17
2001,"I8","Int8","HS","High Seas","High Seas","FJ",41.154,26.131967,2.137677,4.40901
2001,"I8","Int8","HS","High Seas","High Seas","TW",63,31.515,1.272,1.32
2001,"I8","Int8","HS","High Seas","High Seas","VU",8.478,5.008667,0.442325,0.183213
2001,"I9","Int9","HS","High Seas","High Seas","TW",81,115.778,2.625,3.054
2001,"I9","Int9","HS","High Seas","High Seas","VU",1.22,1.576578,0,0.036643
2001,"ID","Indonesia","HS","Indonesia","Other","ID",28766.25,0,4224,18789
2001,"ID","Indonesia","HS","Indonesia","Other","TW",168,0,11.173,47.922
2001,"JP","Japan","JP","Other","Other","JP",5250.358,684.889005,1663.507014,1142.562991
2001,"JT","Johnston","US","US Zones","US Zones","US",662.799,339.940988,88.467656,59.283062
2001,"KI","Kiribati","KI","Kiribati","FFA","CN",87.101,81.909,1.938,1.298
2001,"KI","Kiribati","KI","Kiribati","FFA","JP",2330.214,68.977939,2112.597076,1171.410996
2001,"KI","Kiribati","KI","Kiribati","FFA","KI",2.5,0,0,2
2001,"KI","Kiribati","KI","Kiribati","FFA","KR",10859.524,577.615,5307.421,3577.484
2001,"KI","Kiribati","KI","Kiribati","FFA","TW",343,0,8.054,13.851
2001,"KI","Kiribati","KI","Kiribati","FFA","US",210.56,0.579186,42.447748,160.593908
2001,"MH","Marshall Islands","MH","Marshall Islands","FFA","CN",18.388,0,0.145,0.05
2001,"MH","Marshall Islands","MH","Marshall Islands","FFA","JP",3100.656,45.338002,2731.606059,1270.818975
2001,"MH","Marshall Islands","MH","Marshall Islands","FFA","TW",21,0.152,0.5,0.36
2001,"NC","New Caledonia","MA","New Caledonia","French","NC",7.31,3.931835,1.285965,0.277522
2001,"NC","New Caledonia","NC","New Caledonia","French","NC",2532.687,1016.068165,126.714035,569.722478
2001,"NR","Nauru","NR","Nauru","FFA","NR",16.25,2,6,5
2001,"NZ","New Zealand","NZ","New Zealand","FFA","NZ",10779.535,2592.850231,474.51588,129.631345
2001,"PF","French Polynesia","PF","French Polynesia","French","KR",3.972,0.348,2.431,1.498
2001,"PF","French Polynesia","PF","French Polynesia","French","PF",6498.525,4260.447945,744.774421,966.805179
2001,"PG","PNG","PG","PNG","FFA","PG",5042.418,124,238.430707,1811.670198
2001,"PH","Philippines","PH","Philippines","Other","PH",678.75,0,59,484
2001,"PH","Philippines","PH","Philippines","Other","TW",2706.333,0,660.945,2556.735
2001,"PW","Palau","PW","Palau","FFA","CN",5553.17,9.725,460.125,264.649
2001,"PW","Palau","PW","Palau","FFA","JP",230.636,2.851929,97.002953,94.048946
2001,"PW","Palau","PW","Palau","FFA","KR",42.699,0,4.754,1.644
2001,"PW","Palau","PW","Palau","FFA","PW",193.334,0,21,41
2001,"PW","Palau","PW","Palau","FFA","TW",1878,0,239.629,507.482
2001,"PY","Palmyra","US","US Zones","US Zones","US",564.042,0.227646,103.476013,328.014554
2001,"SB","Solomon Islands","SB","Solomon Islands","FFA","FJ",8.308,1.507715,0.213197,0.715979
2001,"SB","Solomon Islands","SB","Solomon Islands","FFA","JP",164.03,69.360976,19.774021,34.780968
2001,"SB","Solomon Islands","SB","Solomon Islands","FFA","KR",0.993,0.3,0.14,0.315
2001,"SB","Solomon Islands","SB","Solomon Islands","FFA","SB",681.63,53.974683,186.799817,159
