"Year","EEZ","EZnm","Days","ALBc","BETc","YFTc"
2003,"TV","Tuvalu",354.414,54.260172,108.507735,82.286563
2003,"TW","Taiwan",5740,455,1149.5,5283.5
2003,"VN","Vietnam",12898.75,11,2129,8179
2003,"VU","Vanuatu",6724.204,2956.925033,387.851095,1457.541559
2003,"WS","Samoa",5470.482,2253,110,293
2004,"AS","American Samoa",4309.739,2043.430702,134.729074,661.648924
2004,"AU","Australia",11954.941,643.930358,837.189811,2265.251568
2004,"CK","Cook Islands",4624.655,2153.320572,440.864703,602.702644
2004,"CN","China",33.496,6.777043,11.313004,2.960022
2004,"FJ","Fiji",12977.428,6503.41714,597.230409,2472.092265
2004,"FM","FSM",16598.611,57.091963,3225.596575,1825.722957
2004,"GL","Gilbert Islands",2505.527,57.110806,1224.474684,821.793274
2004,"H4","HS pocket H4",534.162,110.67698,157.310201,180.374593
2004,"H5","HS pocket H5",1495.461,428.634579,688.025109,750.15031
2004,"HW","Hawaii",5152.037,69.827705,1600.203704,268.162912
2004,"I1","HS1",17706.138,7.781355,1972.19813,3687.201339
2004,"I2","HS2",3629.926,657.362578,1553.263939,2372.205051
2004,"I3","HS3",11586.367,1366.597162,1853.652835,2426.00019
2004,"I4","HS4",61298.264,748.182175,26217.675637,11309.734863
2004,"I5","HS5",64836.218,1074.307208,26427.339719,10626.97795
2004,"I6","HS6",57275.947,25044.458956,10744.906247,4450.932447
2004,"I7","HS7",17024.462,20465.232328,1084.188725,1220.886978
2004,"I8","HS8",3145.186,1563.072359,87.929541,327.379991
2004,"I9","HS9",223.228,82.21044,32.497875,22.93192
2004,"ID","Indonesia",38321.5,2.63,5549.621978,24611.372978
2004,"JP","Japan",8244.577,265.378939,1831.595001,1775.938994
2004,"JT","Johnston",639.688,83.328475,161.32539,53.783112
2004,"LN","Line Islands",7797.256,328.897298,3543.256092,2568.862452
2004,"MA","Mathew Hunter",19.386,7.668275,0.63671,1.36693
2004,"MH","Marshall Islands",5494.367,10.385989,1617.824997,488.850879
2004,"NC","New Caledonia",3487.063,1446.804121,89.098901,624.680964
2004,"NF","Forfolk Island",396.45,8.075382,22.167253,45.55988
2004,"NR","Nauru",3.75,2,0,1
2004,"NZ","New Zealand",8116.488,1246.315562,176.465841,31.031499
2004,"PF","French Polynesia",10149.995,2210.914444,500.068655,1063.147501
2004,"PG","PNG",6325.652,1681,399.21,2318.41
2004,"PH","Philippines",2133.25,0,313.225979,1968.474975
2004,"PW","Palau",4825.606,5.553012,447.249954,1027.150987
2004,"PX","Phoenix Islands",3278.66,100.84113,1302.458089,1359.824342
2004,"PY","Palmyra",298.574,0.471639,118.431508,47.841737
2004,"SB","Solomon Islands",5455.68,2466.740948,782.839027,1920.856008
2004,"TO","Tonga",1369.837,205.880924,43.723201,174.740354
